Month,Baseline_Forecast,VOX_Seasonal_Forecast,Combined_Forecast,Seasonal_Target,Baseline_Users,VOX_Seasonal_Users,Combined_Users,Target_Users,VOX_Share_Spend
Oct 2025,4432769.91,3436638.31,7869408.220000001,9443289.864,22661,26128,48789,58546.799999999996,43.670860805845955
Nov 2025,4701382.55,4124365.97,8825748.52,10590898.224,23017,31354,54371,65245.2,46.731061514542226
Dec 2025,4969995.19,4743020.87,9713016.06,11655619.272,23373,36057,59430,71316.0,48.83159711361581
