month,baseline_spend,vox_spend,combined_spend,baseline_users,vox_users,combined_users,vox_spend_share,vox_users_share
Oct 2025,4432769.91444582,3436638.3051939383,7869408.219639759,22660.615372305132,26128.21549377114,48788.83086607627,43.67086074677238,53.553682328425175
Nov 2025,4701382.552779154,3355993.6586753633,8057376.211454517,23016.948705638468,25168.42769172497,48185.376397363434,41.65119724587788,52.232502002624415
Dec 2025,4969995.191112487,3316617.544826923,8286612.73593941,23373.2820389718,24706.16210185035,48079.44414082215,40.023802855449055,51.38612257971891
