Month,Forecast_Spend,Target_Spend,Forecast_Users,Target_Users,Target_Uplift
Oct 2025,7869408.22,9443289.864,48789,58546.799999999996,20%
Nov 2025,8057376.21,9668851.452,48185,57822.0,20%
Dec 2025,8286612.74,9943935.288,48079,57694.799999999996,20%
