Metric,With_VOX_ING_Network,Without_VOX_ING_Network,VOX_ING_Contribution,VOX_ING_Percent
Merchant_A - Projected Users,7409.0,7169.0,239.0,3.232555000674855
Merchant_A - Projected Spend,889333.7394966901,865859.8866601932,23473.852836496895,2.6394874942877684
Merchant_B - Projected Users,7652.0,357.0,7294.0,95.32801881860952
Merchant_B - Projected Spend,1119776.783051056,53897.84517100192,1065878.937880054,95.18673310727638
TOTAL - Projected Users,15061.0,7527.0,7534.0,50.02323882876304
TOTAL - Projected Spend,2009110.522547746,919757.7318311952,1089352.7907165508,54.22065030723876
