Merchant,Projected_November_Users,Estimated_November_Spend,Avg_Monthly_Users_May_Oct,Total_Spend_May_Oct,Volatility_CV
BWS,7409,889333.7394966901,7704,3698975.37,7.8
Petbarn,7652,1119776.783051056,5694,3333428.56,62.7
TOTAL,15061,2009110.522547746,13398,7032403.93,-
