month,unique_users,transaction_count,total_spend,variant_count,scenario
2025-07,7196,17356,899315.7300000001,4,With VOX-ING
2025-08,7622,17914,875321.81,5,With VOX-ING
2025-09,8572,23727,1039950.15,5,With VOX-ING
2025-10,7426,18342,884387.68,4,With VOX-ING
2025-07,7196,17356,899315.7300000001,4,Without VOX-ING
2025-08,7622,17914,875321.81,5,Without VOX-ING
2025-09,8572,23727,1039950.15,5,Without VOX-ING
2025-10,7426,18342,884387.68,4,Without VOX-ING
