variant,unique_users,transaction_count,total_spend,avg_spend_per_user
Merchant_B,14271,15736,2054382.73,143.95506481676125
Merchant_B Online,8492,10098,1276917.4100000001,150.36709962317477
Merchant_B - affiliate_platform,16,21,2128.42,133.02625
