Metric,With_VOX_ING,Without_VOX_ING,Difference
BWS - Projected Users,7409.0,7409.0,0.0
BWS - Projected Spend,889333.7394966901,889333.7394966901,0.0
Petbarn - Projected Users,7652.0,7652.0,0.0
Petbarn - Projected Spend,1119776.783051056,1119776.783051056,0.0
TOTAL - Projected Users,15061.0,15061.0,0.0
TOTAL - Projected Spend,2009110.522547746,2009110.522547746,0.0
