month,unique_users,transaction_count,total_spend,variant_count,scenario
2025-07,2570,3109,389639.47,2,With VOX-ING
2025-08,5968,6659,854971.73,2,With VOX-ING
2025-09,10608,12319,1594374.45,2,With VOX-ING
2025-10,3633,3768,494442.91,3,With VOX-ING
2025-07,2570,3109,389639.47,2,Without VOX-ING
2025-08,5968,6659,854971.73,2,Without VOX-ING
2025-09,10608,12319,1594374.45,2,Without VOX-ING
2025-10,3633,3768,494442.91,3,Without VOX-ING
