month,total_users,total_transactions,total_spend,avg_transaction_value,avg_transactions_per_user,variant_count
2025-07,2570,3109,389639.47,125.32630106143453,1.209727626459144,2
2025-08,5968,6659,854971.73,128.39341192371228,1.11578418230563,2
2025-09,10608,12319,1594374.45,129.42401574803148,1.161293363499246,2
2025-10,3633,3768,494442.91,131.22157908704884,1.037159372419488,3
